dataset,seed,method,optimizer,evals,val_loss,val_triad,val_ap,C,gamma,cost_pos,blend_alpha,selected_feature_count,selected_features,model_seed,horizon,target_region,gate_selected,gate_utility_simple,gate_utility_fused,gate_difference,gate_standard_error,gate_required_margin
PONE2016_h1_target_Asia,20260728,KELM_PBMSBAINGO,PBMSBAINGO,81,0.17413332266392478,0.841957880084714,0.8366006672075343,3296.4094303099923,0.00036956109575484635,15.102538006449045,-1.0,7.0,"[2, 4, 5, 7, 8, 9, 10]",20260829,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260728,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.2,,"[2, 4, 5, 7, 8, 9, 10]",20260728,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260728,KELM_risk_feature,PBMSBAINGO,81,0.20780640114196164,0.8021505904755111,0.8909449058268237,1.923815516145154,2.10909214623346,0.3005060516043216,-1.0,5.0,"[1, 5, 6, 10, 11]",20260939,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260728,Full_PBMSBAINGO,PBMSBAINGO,81,0.20770930701217605,0.8032770250662618,0.8960110251785982,5.1162505776520755,0.007182846187629527,6.61442356548741,0.3,6.0,"[1, 6, 8, 9, 10, 11]",20261035,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260728,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260728,1,Asia,KELM_risk_feature,0.5404336172077868,0.5750267677570636,0.03459315054927681,0.04634984314408769,0.04634984314408769
PONE2016_h1_target_Asia,20260728,Full_random_search,Random,81,0.19111548601243447,0.8214353658948051,0.8895777307889787,82.06771211525015,0.02950154510196118,21.75184314716139,0.7,6.0,"[3, 4, 5, 6, 9, 11]",20261129,1,Asia,,,,,,
PONE2016_h1_target_Europe,20260728,KELM_PBMSBAINGO,PBMSBAINGO,81,0.13647558565475681,0.8746437993905218,0.9395886737814392,0.06244790955772896,0.1375230547610448,0.13978095049072198,-1.0,5.0,"[1, 2, 7, 9, 10]",20260829,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260728,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.02,,"[1, 2, 7, 9, 10]",20260728,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260728,KELM_risk_feature,PBMSBAINGO,81,0.08838173576216712,0.9239321838361959,0.9141556271707878,16.62296814932243,1.618656581189419,24.63553217070387,-1.0,6.0,"[3, 5, 6, 8, 9, 11]",20260939,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260728,Full_PBMSBAINGO,PBMSBAINGO,81,0.1390875760306361,0.8746437993905218,0.9511169089207854,0.013719959842547674,0.012712471210035778,10.147909951508373,0.7,7.0,"[2, 6, 7, 8, 9, 10, 11]",20261035,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260728,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260728,1,Europe,KELM_risk_feature,0.5374042255161576,0.5694436099177594,0.03203938440160181,0.06665146962040121,0.06665146962040121
PONE2016_h1_target_Europe,20260728,Full_random_search,Random,81,0.13567774444460196,0.8733889740539835,0.900530440905219,5.614414969840989,3.576300724440303,62.30693171931757,0.2,4.0,"[3, 6, 8, 11]",20261129,1,Europe,,,,,,
PONE2016_h1_target_North_America,20260728,KELM_PBMSBAINGO,PBMSBAINGO,81,0.18425146415286023,0.8271349088932628,0.9320798225433857,12.218312211462784,0.3530417594144823,0.43844620526415373,-1.0,6.0,"[1, 3, 5, 7, 8, 9]",20260829,1,North America,,,,,,
PONE2016_h1_target_North_America,20260728,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.2,,"[1, 3, 5, 7, 8, 9]",20260728,1,North America,,,,,,
