dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,p_at_10,recall_at_10,p_at_15,recall_at_15,p_at_20,recall_at_20,ap,auc
1year.arff,2,LR_balanced,External ML baseline,run_external_baselines.py,0.6769425016637993,0.6296296296296297,0.727810650887574,0.0845771144278607,0.1491228070175438,0.1022864019253911,0.2750809061488673,0.6787201402586018,0.272189349112426,0.2859174964438122,51.0,552.0,1476.0,30.0,0.1421800947867298,0.3703703703703703,0.1167192429022082,0.4567901234567901,0.1042654028436018,0.5432098765432098,0.1109593083615883,0.7498782477414954
1year.arff,2,RF_balanced,External ML baseline,run_external_baselines.py,0.7175416021133455,0.5925925925925926,0.868836291913215,0.1528662420382165,0.2430379746835443,0.1795063575168287,0.3761755485893417,0.7307144422529037,0.131163708086785,0.1488857278330962,48.0,266.0,1762.0,33.0,0.1611374407582938,0.419753086419753,0.1514195583596214,0.5925925925925926,0.1279620853080568,0.6666666666666666,0.2202570325180373,0.8186560985706284
1year.arff,3,BalancedRF,External ML baseline,run_external_baselines.py,0.6430878509774575,0.4320987654320987,0.9571005917159764,0.2868852459016393,0.3448275862068966,0.3075571177504393,0.3923766816143498,0.6945996785740375,0.0428994082840236,0.0578473210052157,35.0,87.0,1941.0,46.0,0.2037914691943128,0.5308641975308642,0.1514195583596214,0.5925925925925926,0.1327014218009478,0.691358024691358,0.3050022832324015,0.8268987264713761
1year.arff,3,EasyEnsemble,External ML baseline,run_external_baselines.py,0.5933146762163886,0.3580246913580246,0.9832347140039448,0.4603174603174603,0.4027777777777778,0.4354354354354354,0.3746770025839793,0.6706297026809848,0.0167652859960552,0.0298719772403982,29.0,34.0,1994.0,52.0,0.2559241706161137,0.6666666666666666,0.1766561514195583,0.691358024691358,0.1445497630331753,0.7530864197530864,0.4046975738072922,0.8799340102758906
1year.arff,3,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.559127243265552,0.3333333333333333,0.9378698224852072,0.1764705882352941,0.2307692307692307,0.1948051948051948,0.2830188679245283,0.6356015779092702,0.0621301775147929,0.0725462304409672,27.0,126.0,1902.0,54.0,0.1469194312796208,0.382716049382716,0.1293375394321766,0.5061728395061729,0.1090047393364928,0.5679012345679012,0.2093610011609624,0.7716475515620813
1year.arff,3,HistGB,External ML baseline,run_external_baselines.py,0.5976135770578408,0.3580246913580246,0.997534516765286,0.8529411764705882,0.5043478260869565,0.6682027649769585,0.4050279329608938,0.6777796040616554,0.002465483234714,0.0161213845424371,29.0,5.0,2023.0,52.0,0.2606635071090047,0.6790123456790124,0.1987381703470031,0.7777777777777778,0.1587677725118483,0.8271604938271605,0.5860484871421353,0.9009210558355856
1year.arff,3,LR_balanced,External ML baseline,run_external_baselines.py,0.6588176636636603,0.5061728395061729,0.8574950690335306,0.1242424242424242,0.1995133819951338,0.1463240542469664,0.3134556574923547,0.6818339542698517,0.1425049309664694,0.1564722617354196,41.0,289.0,1739.0,40.0,0.1469194312796208,0.382716049382716,0.1293375394321766,0.5061728395061729,0.1184834123222748,0.6172839506172839,0.1296997399436453,0.7582608907395232
1year.arff,3,RF_balanced,External ML baseline,run_external_baselines.py,0.6403320083872521,0.419753086419753,0.9768244575936884,0.419753086419753,0.419753086419753,0.419753086419753,0.419753086419753,0.6982887720067208,0.0231755424063116,0.038406827880512,34.0,47.0,1981.0,47.0,0.2559241706161137,0.6666666666666666,0.1924290220820189,0.7530864197530864,0.1540284360189573,0.8024691358024691,0.4176211107385472,0.8765036403925294
1year.arff,4,BalancedRF,External ML baseline,run_external_baselines.py,0.7390321078443525,0.7037037037037037,0.7761341222879684,0.111545988258317,0.1925675675675675,0.1341176470588235,0.3413173652694611,0.7399189129958361,0.2238658777120315,0.2422949265054528,57.0,454.0,1574.0,24.0,0.1943127962085308,0.5061728395061729,0.1419558359621451,0.5555555555555556,0.1161137440758293,0.6049382716049383,0.2177964295079607,0.799693184308569
1year.arff,4,EasyEnsemble,External ML baseline,run_external_baselines.py,0.6247652784463665,0.4074074074074074,0.958086785009862,0.2796610169491525,0.3316582914572864,0.298372513562387,0.3733031674208145,0.6827470962086346,0.041913214990138,0.0559506875296349,33.0,85.0,1943.0,48.0,0.2037914691943128,0.5308641975308642,0.1640378548895899,0.6419753086419753,0.1398104265402843,0.7283950617283951,0.3441202911462626,0.8646662770594394
