"dataset","optimizer","seed","ensemble_size","neg_pos_ratio","feature_mode","risk_feature","score_blend_alpha","auto_blend","evals","val_loss","val_gmean","val_sensitivity","val_specificity","val_f2","val_ap","test_gmean","test_sensitivity","test_specificity","test_precision","test_f1","test_f05","test_f2","test_mcc","test_triad_score","test_balanced_accuracy","test_fpr","test_predicted_positive_rate","test_tp","test_fp","test_tn","test_fn","test_p_at_10","test_recall_at_10","test_p_at_15","test_recall_at_15","test_p_at_20","test_recall_at_20","test_ap","test_auc","test_threshold","test_feature_count","test_C","test_gamma","test_cost_pos","test_blend_alpha","selected_features"
"1year.arff","PBMSBAINGO","1","1","3.0","binary","histgb","0.05","False","703.0","0.2779139075901026","0.7855370951895154","0.625","0.9873096446700508","0.6329113924050633","0.6502217313203112","0.7854300930082798","0.6296296296296297","0.9797830374753451","0.5543478260869565","0.5895953757225434","0.5679287305122495","0.6129807692307693","0.5733780972652497","0.7072159674841481","0.8047063335524873","0.02021696252465483","0.04362256993835941","51.0","41.0","1987.0","30.0","0.2843601895734597","0.7407407407407407","0.20189274447949526","0.7901234567901234","0.15639810426540285","0.8148148148148148","0.6584286627283572","0.9005466676406847","0.04875015535858903","17.0","3219.109568732334","0.0017937428635103369","16.340610320469303","0.05","[5, 7, 9, 11, 19, 20, 26, 27, 28, 32, 41, 43, 54, 55, 56, 64, 65]"
"1year.arff","PBMSBAINGO","2","1","3.0","binary","histgb","0.05","False","701.0","0.25154509637228184","0.8722713476920539","0.7916666666666666","0.961082910321489","0.6884057971014492","0.6669343100432271","0.8022814280595906","0.6666666666666666","0.965483234714004","0.43548387096774194","0.526829268292683","0.4679376083188908","0.6026785714285714","0.5164228631389669","0.6927124283571194","0.8160749506903353","0.03451676528599606","0.05879563774300616","54.0","70.0","1958.0","27.0","0.26540284360189575","0.691358024691358","0.19558359621451105","0.7654320987654321","0.15639810426540285","0.8148148148148148","0.64780026308558","0.8786799620132952","0.02610953262263686","9.0","5.382372130493508","0.1716816363061963","1.1690388264698206","0.05","[3, 9, 11, 18, 24, 29, 39, 48, 65]"
"1year.arff","PBMSBAINGO","3","1","3.0","binary","histgb","0.05","False","704.0","0.21688912159110163","0.8022766182169463","0.6458333333333334","0.9966159052453468","0.6828193832599119","0.7555479521687192","0.709526127832442","0.5061728395061729","0.9945759368836292","0.7884615384615384","0.6165413533834586","0.7093425605536332","0.5452127659574468","0.6205511200856395","0.6785337430911469","0.750374388194901","0.005424063116370809","0.024656235182550973","41.0","11.0","2017.0","40.0","0.26540284360189575","0.691358024691358","0.19873817034700317","0.7777777777777778","0.16113744075829384","0.8395061728395061","0.6377170414032111","0.8940390094236248","0.12501608429059505","4.0","0.01","0.007184353355466012","27.168025937323435","0.05","[11, 24, 58, 65]"
"1year.arff","PBMSBAINGO","4","1","3.0","binary","histgb","0.05","False","708.0","0.2518400551445623","0.8722713476920539","0.7916666666666666","0.961082910321489","0.6884057971014492","0.6682076635844127","0.8635439959189803","0.7901234567901234","0.9437869822485208","0.3595505617977528","0.4942084942084942","0.403530895334174","0.6374501992031872","0.5073625550981072","0.7232622252528674","0.8669552195193221","0.05621301775147929","0.08440018966334756","64.0","114.0","1914.0","17.0","0.3175355450236967","0.8271604938271605","0.22082018927444794","0.8641975308641975","0.16587677725118483","0.8641975308641975","0.7386109052056236","0.9118939781332944","0.02713078215257421","10.0","0.09526045715409184","0.8037224669596107","0.18005535327812006","0.05","[3, 11, 19, 20, 21, 26, 27, 55, 62, 65]"
"1year.arff","PBMSBAINGO","5","1","3.0","binary","histgb","0.05","False","700.0","0.20808246589653034","0.8377000649153402","0.7083333333333334","0.9906937394247038","0.7172995780590717","0.7361910144920066","0.79055208920212","0.6296296296296297","0.992603550295858","0.7727272727272727","0.6938775510204082","0.7391304347826086","0.6538461538461539","0.686789266823538","0.7543301971097112","0.8111165899627438","0.0073964497041420114","0.031294452347083924","51.0","15.0","2013.0","30.0","0.2890995260663507","0.7530864197530864","0.20189274447949526","0.7901234567901234","0.15639810426540285","0.8148148148148148","0.7108848102919771","0.8931532617430054","0.06723952525382654","4.0","154.73813277877738","8.5557687217592","37.08251984494897","0.05","[11, 27, 39, 65]"
"1year.arff","PBMSBAINGO","6","1","3.0","binary","histgb","0.05","False","702.0","0.2199454984890423","0.8678856291660951","0.7708333333333334","0.9771573604060914","0.72265625","0.7215590690477712","0.8430870493380769","0.7283950617283951","0.9758382642998028","0.5462962962962963","0.6243386243386243","0.5750487329434698","0.6828703703703703","0.6139848226942876","0.7585207935071774","0.8521166630140989","0.024161735700197237","0.051209103840682786","59.0","49.0","1979.0","22.0","0.3033175355450237","0.7901234567901234","0.2113564668769716","0.8271604938271605","0.17061611374407584","0.8888888888888888","0.7097045152256924","0.9396169673947451","0.03486540035984469","4.0","9.608734080195706","0.02290971093395986","22.92642532943237","0.05","[11, 15, 48, 65]"
"1year.arff","PBMSBAINGO","7","1","3.0","binary","histgb","0.05","False","699.0","0.28802402395845955","0.7474576198026315","0.5625","0.9932318104906938","0.5947136563876652","0.6701269790523674","0.7671386554638248","0.5925925925925926","0.9930966469428008","0.7741935483870968","0.6713286713286714","0.729483282674772","0.6217616580310881","0.6663293816287046","0.7319457598765331","0.7928446197676966","0.006903353057199211","0.02939781887150308","48.0","14.0","2014.0","33.0","0.2843601895734597","0.7407407407407407","0.20504731861198738","0.8024691358024691","0.16350710900473933","0.8518518518518519","0.6820027008697311","0.911078238001315","0.06253936298042552","4.0","5694.806676532518","0.019433236872953816","3.144263601062549","0.05","[11, 13, 27, 65]"
"1year.arff","PBMSBAINGO","8","1","3.0","binary","histgb","0.05","False","698.0","0.20485989207947375","0.8799162909476185","0.7916666666666666","0.9780033840947546","0.7421875","0.7773521115053625","0.807386999683784","0.6666666666666666","0.977810650887574","0.5454545454545454","0.6","0.5660377358490566","0.6382978723404256","0.5855560812640543","0.725399636118079","0.8222386587771203","0.022189349112426034","0.04694167852062589","54.0","45.0","1983.0","27.0","0.2796208530805687","0.7283950617283951","0.19873817034700317","0.7777777777777778","0.15876777251184834","0.8271604938271605","0.6862199518732585","0.9121009569727517","0.039320201825583656","4.0","15.292570388073033","0.0012169568755096979","30.509167411788056","0.05","[11, 24, 27, 65]"
"1year.arff","PBMSBAINGO","9","1","3.0","binary","histgb","0.05","False","700.0","0.2170007783008012","0.8022766182169463","0.6458333333333334","0.9966159052453468","0.6828193832599119","0.7443822811987619","0.7431475254456122","0.5555555555555556","0.9940828402366864","0.7894736842105263","0.6521739130434783","0.7281553398058253","0.5905511811023622","0.6513695344703471","0.7112012392386206","0.774819197896121","0.005917159763313609","0.02702702702702703","45.0","12.0","2016.0","36.0","0.2985781990521327","0.7777777777777778","0.22082018927444794","0.8641975308641975","0.17061611374407584","0.8888888888888888","0.7027777564493659","0.949028416977135","0.08496242288235956","4.0","2.192794207280272","0.11002664597965221","0.34360044010739277","0.05","[3, 47, 51, 65]"
"1year.arff","PBMSBAINGO","10","1","3.0","binary","histgb","0.05","False","700.0","0.25713663662958786","0.7988641118164816","0.6458333333333334","0.988155668358714","0.6540084388185654","0.6899228052718669","0.8222026758164949","0.691358024691358","0.977810650887574","0.5544554455445545","0.6153846153846154","0.5773195876288659","0.6588235294117647","0.6022399296385831","0.7411551080432162","0.834584337789466","0.022189349112426034","0.047889995258416314","56.0","45.0","1983.0","25.0","0.2843601895734597","0.7407407407407407","0.20189274447949526","0.7901234567901234","0.16113744075829384","0.8395061728395061","0.6886031001859803","0.906287286629167","0.03378262007757359","4.0","0.33829753719383565","0.07084510333498227","0.17122980123156906","0.05","[11, 27, 50, 65]"
