metric,method_a,method_b,rank_a,rank_b,rank_diff,critical_difference,significant
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),NGO-KELM,2.0,11.6,9.6,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),ExtraTrees_balanced,1.0,10.4,9.4,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),TIS_NGO-KELM,5.4,14.8,9.4,10.316121029759566,False
gmean,EasyEnsemble,TIS_NGO-KELM,5.6,14.8,9.200000000000001,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),MSBAINGO-KELM,3.2,12.4,9.2,10.316121029759566,False
gmean,HistGB,PBMSBAINGO-KELM,5.0,14.2,9.2,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),LR_balanced,2.0,11.0,9.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),BAINGO-KELM,3.2,12.0,8.8,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-KELM,5.4,14.2,8.799999999999999,10.316121029759566,False
gmean,EasyEnsemble,PBMSBAINGO-KELM,5.6,14.2,8.6,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),ExtraTrees_balanced,2.0,10.4,8.4,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),NGO-KELM,3.2,11.6,8.399999999999999,10.316121029759566,False
gmean,HistGB,INGO-KELM,5.0,13.0,8.0,10.316121029759566,False
gmean,RF_balanced,TIS_NGO-KELM,7.0,14.8,7.800000000000001,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),LR_balanced,3.2,11.0,7.8,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),INGO-KELM,5.4,13.0,7.6,10.316121029759566,False
gmean,HistGB,MSBAINGO-KELM,5.0,12.4,7.4,10.316121029759566,False
gmean,EasyEnsemble,INGO-KELM,5.6,13.0,7.4,10.316121029759566,False
gmean,BalancedRF,TIS_NGO-KELM,7.4,14.8,7.4,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),ExtraTrees_balanced,3.2,10.4,7.2,10.316121029759566,False
gmean,RF_balanced,PBMSBAINGO-KELM,7.0,14.2,7.199999999999999,10.316121029759566,False
gmean,HistGB,BAINGO-KELM,5.0,12.0,7.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),MSBAINGO-KELM,5.4,12.4,7.0,10.316121029759566,False
gmean,EasyEnsemble,MSBAINGO-KELM,5.6,12.4,6.800000000000001,10.316121029759566,False
gmean,BalancedRF,PBMSBAINGO-KELM,7.4,14.2,6.799999999999999,10.316121029759566,False
gmean,HistGB,NGO-KELM,5.0,11.6,6.6,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),BAINGO-KELM,5.4,12.0,6.6,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),BalancedRF,1.0,7.4,6.4,10.316121029759566,False
gmean,EasyEnsemble,BAINGO-KELM,5.6,12.0,6.4,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),NGO-KELM,5.4,11.6,6.199999999999999,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),RF_balanced,1.0,7.0,6.0,10.316121029759566,False
gmean,HistGB,LR_balanced,5.0,11.0,6.0,10.316121029759566,False
gmean,EasyEnsemble,NGO-KELM,5.6,11.6,6.0,10.316121029759566,False
gmean,RF_balanced,INGO-KELM,7.0,13.0,6.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),LR_balanced,5.4,11.0,5.6,10.316121029759566,False
gmean,BalancedRF,INGO-KELM,7.4,13.0,5.6,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),BalancedRF,2.0,7.4,5.4,10.316121029759566,False
gmean,HistGB,ExtraTrees_balanced,5.0,10.4,5.4,10.316121029759566,False
gmean,EasyEnsemble,LR_balanced,5.6,11.0,5.4,10.316121029759566,False
gmean,RF_balanced,MSBAINGO-KELM,7.0,12.4,5.4,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),RF_balanced,2.0,7.0,5.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),ExtraTrees_balanced,5.4,10.4,5.0,10.316121029759566,False
gmean,RF_balanced,BAINGO-KELM,7.0,12.0,5.0,10.316121029759566,False
gmean,BalancedRF,MSBAINGO-KELM,7.4,12.4,5.0,10.316121029759566,False
gmean,EasyEnsemble,ExtraTrees_balanced,5.6,10.4,4.800000000000001,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),EasyEnsemble,1.0,5.6,4.6,10.316121029759566,False
gmean,RF_balanced,NGO-KELM,7.0,11.6,4.6,10.316121029759566,False
gmean,BalancedRF,BAINGO-KELM,7.4,12.0,4.6,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(MCC-guarded),1.0,5.4,4.4,10.316121029759566,False
gmean,ExtraTrees_balanced,TIS_NGO-KELM,10.4,14.8,4.4,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),BalancedRF,3.2,7.4,4.2,10.316121029759566,False
gmean,BalancedRF,NGO-KELM,7.4,11.6,4.199999999999999,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),HistGB,1.0,5.0,4.0,10.316121029759566,False
gmean,RF_balanced,LR_balanced,7.0,11.0,4.0,10.316121029759566,False
gmean,LR_balanced,TIS_NGO-KELM,11.0,14.8,3.8000000000000007,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),RF_balanced,3.2,7.0,3.8,10.316121029759566,False
gmean,ExtraTrees_balanced,PBMSBAINGO-KELM,10.4,14.2,3.799999999999999,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),EasyEnsemble,2.0,5.6,3.5999999999999996,10.316121029759566,False
gmean,BalancedRF,LR_balanced,7.4,11.0,3.5999999999999996,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-HGBKELM(MCC-guarded),2.0,5.4,3.4000000000000004,10.316121029759566,False
gmean,RF_balanced,ExtraTrees_balanced,7.0,10.4,3.4000000000000004,10.316121029759566,False
gmean,NGO-KELM,TIS_NGO-KELM,11.6,14.8,3.200000000000001,10.316121029759566,False
gmean,LR_balanced,PBMSBAINGO-KELM,11.0,14.2,3.1999999999999993,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),HistGB,2.0,5.0,3.0,10.316121029759566,False
gmean,BalancedRF,ExtraTrees_balanced,7.4,10.4,3.0,10.316121029759566,False
gmean,BAINGO-KELM,TIS_NGO-KELM,12.0,14.8,2.8000000000000007,10.316121029759566,False
gmean,ExtraTrees_balanced,INGO-KELM,10.4,13.0,2.5999999999999996,10.316121029759566,False
gmean,NGO-KELM,PBMSBAINGO-KELM,11.6,14.2,2.5999999999999996,10.316121029759566,False
gmean,HistGB,BalancedRF,5.0,7.4,2.4000000000000004,10.316121029759566,False
gmean,MSBAINGO-KELM,TIS_NGO-KELM,12.4,14.8,2.4000000000000004,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),EasyEnsemble,3.2,5.6,2.3999999999999995,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(F2-mode),1.0,3.2,2.2,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-HGBKELM(MCC-guarded),3.2,5.4,2.2,10.316121029759566,False
gmean,BAINGO-KELM,PBMSBAINGO-KELM,12.0,14.2,2.1999999999999993,10.316121029759566,False
gmean,HistGB,RF_balanced,5.0,7.0,2.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),BalancedRF,5.4,7.4,2.0,10.316121029759566,False
gmean,ExtraTrees_balanced,MSBAINGO-KELM,10.4,12.4,2.0,10.316121029759566,False
gmean,LR_balanced,INGO-KELM,11.0,13.0,2.0,10.316121029759566,False
gmean,EasyEnsemble,BalancedRF,5.6,7.4,1.8000000000000007,10.316121029759566,False
gmean,INGO-KELM,TIS_NGO-KELM,13.0,14.8,1.8000000000000007,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),HistGB,3.2,5.0,1.7999999999999998,10.316121029759566,False
gmean,MSBAINGO-KELM,PBMSBAINGO-KELM,12.4,14.2,1.799999999999999,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),RF_balanced,5.4,7.0,1.5999999999999996,10.316121029759566,False
gmean,ExtraTrees_balanced,BAINGO-KELM,10.4,12.0,1.5999999999999996,10.316121029759566,False
gmean,EasyEnsemble,RF_balanced,5.6,7.0,1.4000000000000004,10.316121029759566,False
gmean,LR_balanced,MSBAINGO-KELM,11.0,12.4,1.4000000000000004,10.316121029759566,False
gmean,NGO-KELM,INGO-KELM,11.6,13.0,1.4000000000000004,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-HGBKELM(F2-mode),2.0,3.2,1.2000000000000002,10.316121029759566,False
gmean,ExtraTrees_balanced,NGO-KELM,10.4,11.6,1.1999999999999993,10.316121029759566,False
gmean,INGO-KELM,PBMSBAINGO-KELM,13.0,14.2,1.1999999999999993,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(Sensitivity-mode),1.0,2.0,1.0,10.316121029759566,False
gmean,LR_balanced,BAINGO-KELM,11.0,12.0,1.0,10.316121029759566,False
gmean,BAINGO-KELM,INGO-KELM,12.0,13.0,1.0,10.316121029759566,False
gmean,NGO-KELM,MSBAINGO-KELM,11.6,12.4,0.8000000000000007,10.316121029759566,False
gmean,PBMSBAINGO-KELM,TIS_NGO-KELM,14.2,14.8,0.6000000000000014,10.316121029759566,False
gmean,HistGB,EasyEnsemble,5.0,5.6,0.5999999999999996,10.316121029759566,False
gmean,ExtraTrees_balanced,LR_balanced,10.4,11.0,0.5999999999999996,10.316121029759566,False
gmean,LR_balanced,NGO-KELM,11.0,11.6,0.5999999999999996,10.316121029759566,False
gmean,MSBAINGO-KELM,INGO-KELM,12.4,13.0,0.5999999999999996,10.316121029759566,False
gmean,HistGB,PBMSBAINGO-HGBKELM(MCC-guarded),5.0,5.4,0.40000000000000036,10.316121029759566,False
gmean,RF_balanced,BalancedRF,7.0,7.4,0.40000000000000036,10.316121029759566,False
gmean,NGO-KELM,BAINGO-KELM,11.6,12.0,0.40000000000000036,10.316121029759566,False
gmean,BAINGO-KELM,MSBAINGO-KELM,12.0,12.4,0.40000000000000036,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),EasyEnsemble,5.4,5.6,0.1999999999999993,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),INGO-KELM,1.0,14.8,13.8,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(Triad-mode),NGO-KELM,1.0,14.8,13.8,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(Triad-mode),TIS_NGO-KELM,1.0,13.4,12.4,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),INGO-KELM,2.4,14.8,12.4,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),NGO-KELM,2.4,14.8,12.4,10.316121029759566,True
mcc,HistGB,INGO-KELM,2.6,14.8,12.200000000000001,10.316121029759566,True
mcc,HistGB,NGO-KELM,2.6,14.8,12.200000000000001,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-KELM,1.0,12.2,11.2,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),TIS_NGO-KELM,2.4,13.4,11.0,10.316121029759566,True
mcc,HistGB,TIS_NGO-KELM,2.6,13.4,10.8,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(F2-mode),INGO-KELM,4.0,14.8,10.8,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(F2-mode),NGO-KELM,4.0,14.8,10.8,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(Triad-mode),MSBAINGO-KELM,1.0,11.6,10.6,10.316121029759566,True
mcc,PBMSBAINGO-HGBKELM(Triad-mode),BAINGO-KELM,1.0,11.2,10.2,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),LR_balanced,1.0,11.2,10.2,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),ExtraTrees_balanced,1.0,10.8,9.8,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),INGO-KELM,5.0,14.8,9.8,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),NGO-KELM,5.0,14.8,9.8,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-KELM,2.4,12.2,9.799999999999999,10.316121029759566,False
mcc,HistGB,PBMSBAINGO-KELM,2.6,12.2,9.6,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),TIS_NGO-KELM,4.0,13.4,9.4,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),MSBAINGO-KELM,2.4,11.6,9.2,10.316121029759566,False
mcc,HistGB,MSBAINGO-KELM,2.6,11.6,9.0,10.316121029759566,False
mcc,EasyEnsemble,INGO-KELM,6.0,14.8,8.8,10.316121029759566,False
mcc,EasyEnsemble,NGO-KELM,6.0,14.8,8.8,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),BAINGO-KELM,2.4,11.2,8.799999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),LR_balanced,2.4,11.2,8.799999999999999,10.316121029759566,False
mcc,HistGB,BAINGO-KELM,2.6,11.2,8.6,10.316121029759566,False
mcc,HistGB,LR_balanced,2.6,11.2,8.6,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),ExtraTrees_balanced,2.4,10.8,8.4,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),TIS_NGO-KELM,5.0,13.4,8.4,10.316121029759566,False
mcc,HistGB,ExtraTrees_balanced,2.6,10.8,8.200000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-KELM,4.0,12.2,8.2,10.316121029759566,False
mcc,RF_balanced,INGO-KELM,7.0,14.8,7.800000000000001,10.316121029759566,False
mcc,RF_balanced,NGO-KELM,7.0,14.8,7.800000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),MSBAINGO-KELM,4.0,11.6,7.6,10.316121029759566,False
mcc,EasyEnsemble,TIS_NGO-KELM,6.0,13.4,7.4,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),BAINGO-KELM,4.0,11.2,7.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),LR_balanced,4.0,11.2,7.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-KELM,5.0,12.2,7.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),BalancedRF,1.0,8.0,7.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),ExtraTrees_balanced,4.0,10.8,6.800000000000001,10.316121029759566,False
mcc,BalancedRF,INGO-KELM,8.0,14.8,6.800000000000001,10.316121029759566,False
mcc,BalancedRF,NGO-KELM,8.0,14.8,6.800000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),MSBAINGO-KELM,5.0,11.6,6.6,10.316121029759566,False
mcc,RF_balanced,TIS_NGO-KELM,7.0,13.4,6.4,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),BAINGO-KELM,5.0,11.2,6.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),LR_balanced,5.0,11.2,6.199999999999999,10.316121029759566,False
mcc,EasyEnsemble,PBMSBAINGO-KELM,6.0,12.2,6.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),RF_balanced,1.0,7.0,6.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),ExtraTrees_balanced,5.0,10.8,5.800000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),BalancedRF,2.4,8.0,5.6,10.316121029759566,False
mcc,EasyEnsemble,MSBAINGO-KELM,6.0,11.6,5.6,10.316121029759566,False
mcc,HistGB,BalancedRF,2.6,8.0,5.4,10.316121029759566,False
mcc,BalancedRF,TIS_NGO-KELM,8.0,13.4,5.4,10.316121029759566,False
mcc,EasyEnsemble,BAINGO-KELM,6.0,11.2,5.199999999999999,10.316121029759566,False
mcc,EasyEnsemble,LR_balanced,6.0,11.2,5.199999999999999,10.316121029759566,False
mcc,RF_balanced,PBMSBAINGO-KELM,7.0,12.2,5.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),EasyEnsemble,1.0,6.0,5.0,10.316121029759566,False
mcc,EasyEnsemble,ExtraTrees_balanced,6.0,10.8,4.800000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),RF_balanced,2.4,7.0,4.6,10.316121029759566,False
mcc,RF_balanced,MSBAINGO-KELM,7.0,11.6,4.6,10.316121029759566,False
mcc,HistGB,RF_balanced,2.6,7.0,4.4,10.316121029759566,False
mcc,RF_balanced,BAINGO-KELM,7.0,11.2,4.199999999999999,10.316121029759566,False
mcc,RF_balanced,LR_balanced,7.0,11.2,4.199999999999999,10.316121029759566,False
mcc,BalancedRF,PBMSBAINGO-KELM,8.0,12.2,4.199999999999999,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(Sensitivity-mode),1.0,5.0,4.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),BalancedRF,4.0,8.0,4.0,10.316121029759566,False
mcc,ExtraTrees_balanced,INGO-KELM,10.8,14.8,4.0,10.316121029759566,False
mcc,ExtraTrees_balanced,NGO-KELM,10.8,14.8,4.0,10.316121029759566,False
mcc,RF_balanced,ExtraTrees_balanced,7.0,10.8,3.8000000000000007,10.316121029759566,False
mcc,BAINGO-KELM,INGO-KELM,11.2,14.8,3.6000000000000014,10.316121029759566,False
mcc,BAINGO-KELM,NGO-KELM,11.2,14.8,3.6000000000000014,10.316121029759566,False
mcc,LR_balanced,INGO-KELM,11.2,14.8,3.6000000000000014,10.316121029759566,False
mcc,LR_balanced,NGO-KELM,11.2,14.8,3.6000000000000014,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),EasyEnsemble,2.4,6.0,3.6,10.316121029759566,False
mcc,BalancedRF,MSBAINGO-KELM,8.0,11.6,3.5999999999999996,10.316121029759566,False
mcc,HistGB,EasyEnsemble,2.6,6.0,3.4,10.316121029759566,False
mcc,MSBAINGO-KELM,INGO-KELM,11.6,14.8,3.200000000000001,10.316121029759566,False
mcc,MSBAINGO-KELM,NGO-KELM,11.6,14.8,3.200000000000001,10.316121029759566,False
mcc,BalancedRF,BAINGO-KELM,8.0,11.2,3.1999999999999993,10.316121029759566,False
mcc,BalancedRF,LR_balanced,8.0,11.2,3.1999999999999993,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(F2-mode),1.0,4.0,3.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),RF_balanced,4.0,7.0,3.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),BalancedRF,5.0,8.0,3.0,10.316121029759566,False
mcc,BalancedRF,ExtraTrees_balanced,8.0,10.8,2.8000000000000007,10.316121029759566,False
mcc,PBMSBAINGO-KELM,INGO-KELM,12.2,14.8,2.6000000000000014,10.316121029759566,False
mcc,PBMSBAINGO-KELM,NGO-KELM,12.2,14.8,2.6000000000000014,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-HGBKELM(Sensitivity-mode),2.4,5.0,2.6,10.316121029759566,False
mcc,ExtraTrees_balanced,TIS_NGO-KELM,10.8,13.4,2.5999999999999996,10.316121029759566,False
mcc,HistGB,PBMSBAINGO-HGBKELM(Sensitivity-mode),2.6,5.0,2.4,10.316121029759566,False
mcc,BAINGO-KELM,TIS_NGO-KELM,11.2,13.4,2.200000000000001,10.316121029759566,False
mcc,LR_balanced,TIS_NGO-KELM,11.2,13.4,2.200000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),EasyEnsemble,4.0,6.0,2.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),RF_balanced,5.0,7.0,2.0,10.316121029759566,False
mcc,EasyEnsemble,BalancedRF,6.0,8.0,2.0,10.316121029759566,False
mcc,MSBAINGO-KELM,TIS_NGO-KELM,11.6,13.4,1.8000000000000007,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),HistGB,1.0,2.6,1.6,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-HGBKELM(F2-mode),2.4,4.0,1.6,10.316121029759566,False
mcc,TIS_NGO-KELM,INGO-KELM,13.4,14.8,1.4000000000000004,10.316121029759566,False
mcc,TIS_NGO-KELM,NGO-KELM,13.4,14.8,1.4000000000000004,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(MCC-guarded),1.0,2.4,1.4,10.316121029759566,False
mcc,HistGB,PBMSBAINGO-HGBKELM(F2-mode),2.6,4.0,1.4,10.316121029759566,False
mcc,ExtraTrees_balanced,PBMSBAINGO-KELM,10.8,12.2,1.3999999999999986,10.316121029759566,False
mcc,PBMSBAINGO-KELM,TIS_NGO-KELM,12.2,13.4,1.200000000000001,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-HGBKELM(Sensitivity-mode),4.0,5.0,1.0,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),EasyEnsemble,5.0,6.0,1.0,10.316121029759566,False
mcc,EasyEnsemble,RF_balanced,6.0,7.0,1.0,10.316121029759566,False
mcc,RF_balanced,BalancedRF,7.0,8.0,1.0,10.316121029759566,False
mcc,BAINGO-KELM,PBMSBAINGO-KELM,11.2,12.2,1.0,10.316121029759566,False
mcc,LR_balanced,PBMSBAINGO-KELM,11.2,12.2,1.0,10.316121029759566,False
mcc,ExtraTrees_balanced,MSBAINGO-KELM,10.8,11.6,0.7999999999999989,10.316121029759566,False
mcc,MSBAINGO-KELM,PBMSBAINGO-KELM,11.6,12.2,0.5999999999999996,10.316121029759566,False
mcc,BAINGO-KELM,MSBAINGO-KELM,11.2,11.6,0.40000000000000036,10.316121029759566,False
mcc,LR_balanced,MSBAINGO-KELM,11.2,11.6,0.40000000000000036,10.316121029759566,False
mcc,ExtraTrees_balanced,BAINGO-KELM,10.8,11.2,0.3999999999999986,10.316121029759566,False
mcc,ExtraTrees_balanced,LR_balanced,10.8,11.2,0.3999999999999986,10.316121029759566,False
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),HistGB,2.4,2.6,0.20000000000000018,10.316121029759566,False
mcc,BAINGO-KELM,LR_balanced,11.2,11.2,0.0,10.316121029759566,False
mcc,INGO-KELM,NGO-KELM,14.8,14.8,0.0,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(MCC-guarded),NGO-KELM,1.6,15.6,14.0,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(MCC-guarded),INGO-KELM,1.6,15.2,13.6,10.316121029759566,True
precision,HistGB,NGO-KELM,2.0,15.6,13.6,10.316121029759566,True
precision,HistGB,INGO-KELM,2.0,15.2,13.2,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(Triad-mode),NGO-KELM,3.0,15.6,12.6,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(Triad-mode),INGO-KELM,3.0,15.2,12.2,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(F2-mode),NGO-KELM,3.4,15.6,12.2,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(F2-mode),INGO-KELM,3.4,15.2,11.799999999999999,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(MCC-guarded),LR_balanced,1.6,12.4,10.8,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(Sensitivity-mode),NGO-KELM,5.0,15.6,10.6,10.316121029759566,True
precision,HistGB,LR_balanced,2.0,12.4,10.4,10.316121029759566,True
precision,PBMSBAINGO-HGBKELM(Sensitivity-mode),INGO-KELM,5.0,15.2,10.2,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(MCC-guarded),ExtraTrees_balanced,1.6,11.6,10.0,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(MCC-guarded),MSBAINGO-KELM,1.6,11.6,10.0,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(MCC-guarded),BAINGO-KELM,1.6,11.2,9.6,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(MCC-guarded),TIS_NGO-KELM,1.6,11.2,9.6,10.316121029759566,False
precision,HistGB,ExtraTrees_balanced,2.0,11.6,9.6,10.316121029759566,False
precision,HistGB,MSBAINGO-KELM,2.0,11.6,9.6,10.316121029759566,False
precision,EasyEnsemble,NGO-KELM,6.0,15.6,9.6,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(Triad-mode),LR_balanced,3.0,12.4,9.4,10.316121029759566,False
precision,HistGB,BAINGO-KELM,2.0,11.2,9.2,10.316121029759566,False
precision,HistGB,TIS_NGO-KELM,2.0,11.2,9.2,10.316121029759566,False
precision,EasyEnsemble,INGO-KELM,6.0,15.2,9.2,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(F2-mode),LR_balanced,3.4,12.4,9.0,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-KELM,1.6,10.4,8.8,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(Triad-mode),ExtraTrees_balanced,3.0,11.6,8.6,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(Triad-mode),MSBAINGO-KELM,3.0,11.6,8.6,10.316121029759566,False
precision,HistGB,PBMSBAINGO-KELM,2.0,10.4,8.4,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(Triad-mode),BAINGO-KELM,3.0,11.2,8.2,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(Triad-mode),TIS_NGO-KELM,3.0,11.2,8.2,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(F2-mode),ExtraTrees_balanced,3.4,11.6,8.2,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(F2-mode),MSBAINGO-KELM,3.4,11.6,8.2,10.316121029759566,False
precision,RF_balanced,NGO-KELM,7.4,15.6,8.2,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(F2-mode),BAINGO-KELM,3.4,11.2,7.799999999999999,10.316121029759566,False
precision,PBMSBAINGO-HGBKELM(F2-mode),TIS_NGO-KELM,3.4,11.2,7.799999999999999,10.316121029759566,False
precision,RF_balanced,INGO-KELM,7.4,15.2,7.799999999999999,10.316121029759566,False
