metric,method_a,method_b,rank_a,rank_b,rank_diff,critical_difference,significant
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),ExtraTrees_balanced,4.6,9.8,5.200000000000001,10.316121029759566,False
ap,BalancedRF,TIS_NGO-KELM,8.0,13.2,5.199999999999999,10.316121029759566,False
ap,LR_balanced,INGO-KELM,10.4,15.2,4.799999999999999,10.316121029759566,False
ap,HistGB,RF_balanced,2.0,6.6,4.6,10.316121029759566,False
ap,BalancedRF,BAINGO-KELM,8.0,12.6,4.6,10.316121029759566,False
ap,ExtraTrees_balanced,NGO-KELM,9.8,14.4,4.6,10.316121029759566,False
ap,HistGB,EasyEnsemble,2.0,6.4,4.4,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),BalancedRF,3.6,8.0,4.4,10.316121029759566,False
ap,BalancedRF,PBMSBAINGO-KELM,8.0,12.4,4.4,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),BalancedRF,3.8,8.0,4.2,10.316121029759566,False
ap,EasyEnsemble,LR_balanced,6.4,10.4,4.0,10.316121029759566,False
ap,BalancedRF,MSBAINGO-KELM,8.0,12.0,4.0,10.316121029759566,False
ap,LR_balanced,NGO-KELM,10.4,14.4,4.0,10.316121029759566,False
ap,RF_balanced,LR_balanced,6.6,10.4,3.8000000000000007,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(Sensitivity-mode),1.0,4.6,3.5999999999999996,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),BalancedRF,4.6,8.0,3.4000000000000004,10.316121029759566,False
ap,EasyEnsemble,ExtraTrees_balanced,6.4,9.8,3.4000000000000004,10.316121029759566,False
ap,ExtraTrees_balanced,TIS_NGO-KELM,9.8,13.2,3.3999999999999986,10.316121029759566,False
ap,RF_balanced,ExtraTrees_balanced,6.6,9.8,3.200000000000001,10.316121029759566,False
ap,MSBAINGO-KELM,INGO-KELM,12.0,15.2,3.1999999999999993,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),RF_balanced,3.6,6.6,2.9999999999999996,10.316121029759566,False
