metric,n_blocks,n_methods,alpha,q_alpha,critical_difference,note
gmean,5,16,0.05,3.426041379370608,10.316121029759566,
sensitivity,5,16,0.05,3.426041379370608,10.316121029759566,
specificity,5,16,0.05,3.426041379370608,10.316121029759566,
precision,5,16,0.05,3.426041379370608,10.316121029759566,
mcc,5,16,0.05,3.426041379370608,10.316121029759566,
triad_score,5,16,0.05,3.426041379370608,10.316121029759566,
f2,5,16,0.05,3.426041379370608,10.316121029759566,
ap,5,16,0.05,3.426041379370608,10.316121029759566,
