dataset,method,policy,auc_deduplicated,ap_deduplicated,mcc_deduplicated,balanced_accuracy_deduplicated,brier_deduplicated,log_loss_deduplicated,auc_raw,ap_raw,mcc_raw,balanced_accuracy_raw,brier_raw,log_loss_raw,delta_raw_minus_deduplicated_auc,delta_raw_minus_deduplicated_ap,delta_raw_minus_deduplicated_mcc,delta_raw_minus_deduplicated_balanced_accuracy,delta_raw_minus_deduplicated_brier,delta_raw_minus_deduplicated_log_loss
PONE2016_h1_target_Asia,HistGB,triad,0.9396701388888888,0.9494823313405836,0.6460415830634638,0.8020833333333333,0.1031382988368946,0.3404948699175872,0.9396701388888888,0.9494823313405836,0.6460415830634638,0.8020833333333333,0.1032623958335998,0.3404147155760994,0.0,0.0,0.0,0.0,0.0001240969967051947,-8.015434148778144e-05
PONE2016_h1_target_Asia,KELM_PBMSBAINGO,triad,0.9388020833333334,0.9452957206502608,0.5958540230683373,0.7708333333333333,0.1006514570405319,0.3162787495878225,0.9487847222222222,0.9536927637466168,0.4787549991450211,0.6979166666666666,0.0979350043447981,0.322741204182185,0.00998263888888884,0.008397043096356027,-0.11709902392331623,-0.07291666666666663,-0.002716452695733798,0.00646245459436251
PONE2016_h1_target_Asia,KELM_score_fusion,triad,0.9388020833333334,0.9452957206502608,0.5958540230683373,0.7708333333333333,0.1006959894989607,0.3163772024599796,0.9422743055555556,0.9512080690422756,0.6125299996854587,0.78125,0.1028171383394297,0.3387389664879378,0.00347222222222221,0.005912348392014821,0.01667597661712139,0.01041666666666674,0.0021211488404689893,0.022361764027958198
PONE2016_h1_target_Asia,KELM_risk_feature,triad,0.95703125,0.9593440392940052,0.5129891760425771,0.7083333333333334,0.0894669688208606,0.2996910942394627,0.9383680555555556,0.9447223826315524,0.4616902584383193,0.6875,0.0953492127947892,0.3183649715590622,-0.01866319444444442,-0.014621656662452853,-0.05129891760425781,-0.02083333333333337,0.0058822439739286,0.018673877319599463
PONE2016_h1_target_Asia,Full_PBMSBAINGO,triad,0.9396701388888888,0.9496047865316364,0.7315635209502899,0.8541666666666666,0.1013045113361499,0.3342672246441558,0.9270833333333331,0.9396809277551827,0.6125299996854587,0.78125,0.0984931007465188,0.32953938524965,-0.012586805555555691,-0.009923858776453631,-0.11903352126483113,-0.07291666666666663,-0.0028114105896310942,-0.004727839394505828
PONE2016_h1_target_Asia,Uncertainty_gated_fusion,triad,0.95703125,0.9593440392940052,0.5129891760425771,0.7083333333333334,0.0894669688208606,0.2996910942394627,0.9383680555555556,0.9447223826315524,0.4616902584383193,0.6875,0.0953492127947892,0.3183649715590622,-0.01866319444444442,-0.014621656662452853,-0.05129891760425781,-0.02083333333333337,0.0058822439739286,0.018673877319599463
PONE2016_h1_target_Asia,Full_random_search,triad,0.9401041666666666,0.9490416090248612,0.7315635209502899,0.8541666666666666,0.1024094779047003,0.3380126982222165,0.9375,0.9517373761019268,0.496742636335202,0.6979166666666666,0.1008272264174183,0.3326914506390596,-0.0026041666666666297,0.002695767077065536,-0.23482088461508788,-0.15625,-0.0015822514872819993,-0.005321247583156941
PONE2016_h1_target_Asia,Balanced_logistic,triad,0.9440104166666666,0.9543744904577072,0.6798834181250946,0.8229166666666666,0.1023206683367922,0.3235760106814021,0.9440104166666666,0.9543744904577072,0.6798834181250946,0.8229166666666666,0.1009768069929827,0.3196490436987867,0.0,0.0,0.0,0.0,-0.0013438613438094965,-0.00392696698261541
PONE2016_h1_target_Europe,HistGB,triad,0.8808481532147743,0.8607584204467822,0.5493412588939887,0.7611491108071136,0.1498404627628348,0.4779763713993825,0.8848025959978367,0.8665028099575238,0.5805124120675239,0.7732558139534884,0.1478276555594491,0.472489366317969,0.003954442783062451,0.005744389510741632,0.03117115317353525,0.012106703146374853,-0.0020128072033857025,-0.005487005081413476
PONE2016_h1_target_Europe,KELM_PBMSBAINGO,triad,0.8727770177838576,0.8621831019754258,0.6037389203907001,0.784610123119015,0.1442073745151267,0.4731165508813007,0.8929150892374256,0.8808942251069597,0.5423451232572392,0.7383720930232558,0.1281419022768729,0.4177089071301059,0.02013807145356794,0.01871112313153389,-0.06139379713346094,-0.04623803009575922,-0.016065472238253803,-0.055407643751194835
