dataset,horizon,target_region,method,auc,ap,mcc,balanced_accuracy,sensitivity,specificity,brier,log_loss
PONE2016_h1_target_Asia,1,Asia,Balanced_logistic,0.9440104166666666,0.9543744904577072,0.6798834181250946,0.8229166666666666,0.6666666666666666,0.9791666666666666,0.10232066833679218,0.3235760106814021
PONE2016_h1_target_Asia,1,Asia,Full_PBMSBAINGO,0.9421874999999998,0.9498552395793742,0.6336803136008238,0.7895833333333333,0.5916666666666666,0.9875,0.10072957629778063,0.33275586952240616
PONE2016_h1_target_Asia,1,Asia,Full_random_search,0.9394097222222222,0.9460494160257523,0.6603209328969345,0.8104166666666666,0.6416666666666666,0.9791666666666666,0.0997280826256991,0.3303192611071669
PONE2016_h1_target_Asia,1,Asia,HistGB,0.939670138888889,0.9494823313405835,0.6460415830634638,0.8020833333333333,0.625,0.9791666666666666,0.1031382988368946,0.3404948699175872
PONE2016_h1_target_Asia,1,Asia,KELM_PBMSBAINGO,0.9276041666666668,0.9383165779862528,0.6337717474472593,0.7958333333333333,0.6291666666666667,0.9625,0.11762473392299273,0.37962884878732905
PONE2016_h1_target_Asia,1,Asia,KELM_risk_feature,0.9383680555555556,0.9461241697927434,0.606191593852985,0.775,0.5666666666666667,0.9833333333333332,0.09737198991871761,0.3272731910485199
PONE2016_h1_target_Asia,1,Asia,KELM_score_fusion,0.9322048611111111,0.9412019052925444,0.6294057834581823,0.7895833333333333,0.5958333333333334,0.9833333333333332,0.11018593938943388,0.35483105016670236
PONE2016_h1_target_Asia,1,Asia,Uncertainty_gated_fusion,0.9383680555555556,0.9461241697927434,0.606191593852985,0.775,0.5666666666666667,0.9833333333333332,0.09737198991871761,0.3272731910485199
PONE2016_h1_target_Europe,1,Europe,Balanced_logistic,0.8859097127222985,0.8789238152502963,0.5035262172575005,0.7149794801641587,0.4534883720930232,0.976470588235294,0.1335267507778348,0.4849476302041785
PONE2016_h1_target_Europe,1,Europe,Full_PBMSBAINGO,0.8718194254445966,0.8380363648519245,0.5831929289220041,0.7876060191518468,0.7069767441860465,0.868235294117647,0.1434730259139782,0.46985235318760754
PONE2016_h1_target_Europe,1,Europe,Full_random_search,0.8717920656634748,0.8355263047731046,0.5576456903009721,0.7702872777017784,0.6511627906976745,0.8894117647058823,0.1430562024245439,0.4648025682108832
PONE2016_h1_target_Europe,1,Europe,HistGB,0.8808481532147743,0.8607584204467822,0.5493412588939887,0.7611491108071136,0.6046511627906976,0.9176470588235294,0.1498404627628348,0.4779763713993825
PONE2016_h1_target_Europe,1,Europe,KELM_PBMSBAINGO,0.8750478796169631,0.86676721125549,0.5692768334510204,0.7659507523939808,0.5883720930232558,0.943529411764706,0.14027604747702657,0.46878086485200365
PONE2016_h1_target_Europe,1,Europe,KELM_risk_feature,0.8493844049247606,0.836871383787414,0.4853417695199087,0.728467852257182,0.5604651162790698,0.8964705882352941,0.16150544402442918,0.49982969551312123
PONE2016_h1_target_Europe,1,Europe,KELM_score_fusion,0.8821340629274965,0.8608563308425747,0.5551942903270475,0.7635020519835841,0.6046511627906976,0.9223529411764705,0.14966382953661617,0.4773208022739472
PONE2016_h1_target_Europe,1,Europe,Uncertainty_gated_fusion,0.8493844049247606,0.836871383787414,0.4853417695199087,0.728467852257182,0.5604651162790698,0.8964705882352941,0.16150544402442918,0.49982969551312123
PONE2016_h1_target_North_America,1,North America,Balanced_logistic,0.8811217510259917,0.9134370704739888,0.6628442637111425,0.8138166894664842,0.6511627906976745,0.976470588235294,0.1361765994251453,0.4761766750967566
PONE2016_h1_target_North_America,1,North America,Full_PBMSBAINGO,0.8997811217510259,0.9053299600804932,0.635538395389033,0.8166210670314638,0.7744186046511627,0.8588235294117647,0.1371781583196559,0.43212716432264686
PONE2016_h1_target_North_America,1,North America,Full_random_search,0.9047058823529411,0.913099470580789,0.6172884514229662,0.8004514363885089,0.7232558139534884,0.8776470588235294,0.13677102880877234,0.43171728848291646
PONE2016_h1_target_North_America,1,North America,HistGB,0.9073871409028728,0.9192924561283295,0.6397337567110021,0.8189466484268128,0.7790697674418605,0.8588235294117647,0.1380057893140534,0.4358467176219614
PONE2016_h1_target_North_America,1,North America,KELM_PBMSBAINGO,0.8894664842681259,0.8998708650253386,0.6525373854913394,0.8181532147742818,0.713953488372093,0.9223529411764705,0.1321173972229722,0.4229124910027801
PONE2016_h1_target_North_America,1,North America,KELM_risk_feature,0.8601231190150479,0.8384430352125707,0.5802669422082931,0.7830506155950753,0.6813953488372093,0.8847058823529412,0.16412310155101142,0.49909374108255244
PONE2016_h1_target_North_America,1,North America,KELM_score_fusion,0.9023529411764706,0.9148929378453332,0.6584765797899582,0.8272093023255813,0.7744186046511627,0.8799999999999999,0.13418061081488228,0.42601256282885513
PONE2016_h1_target_North_America,1,North America,Uncertainty_gated_fusion,0.8743091655266758,0.8663325626407559,0.5834119586014331,0.7853351573187414,0.6930232558139535,0.8776470588235293,0.15111896415790146,0.46415432777698207
PONE2016_h2_target_Asia,2,Asia,Balanced_logistic,0.9144965277777775,0.9124399524683342,0.6493659782899173,0.8229166666666667,0.7708333333333334,0.875,0.21907467623175186,0.6304146150301188
PONE2016_h2_target_Asia,2,Asia,Full_PBMSBAINGO,0.8551215277777778,0.8234356524261515,0.5588449438309264,0.76875,0.6333333333333333,0.9041666666666666,0.16279384531519425,0.5049838572182602
PONE2016_h2_target_Asia,2,Asia,Full_random_search,0.8716145833333334,0.8600405059876509,0.5328929747268437,0.75,0.5916666666666666,0.9083333333333334,0.1540972209825401,0.48159130890854945
PONE2016_h2_target_Asia,2,Asia,HistGB,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.6458333333333334,0.9166666666666666,0.1657008508261986,0.5129137304205235
PONE2016_h2_target_Asia,2,Asia,KELM_PBMSBAINGO,0.8792534722222222,0.8821391891440176,0.4877651412573513,0.7083333333333333,0.45,0.9666666666666666,0.17890680803510714,0.5414644894805902
PONE2016_h2_target_Asia,2,Asia,KELM_risk_feature,0.89296875,0.8924789144985296,0.5049326487606962,0.7291666666666667,0.5208333333333333,0.9375,0.16372184799029757,0.5087592510596621
PONE2016_h2_target_Asia,2,Asia,KELM_score_fusion,0.8594618055555555,0.8535343233203136,0.5125155749883457,0.7291666666666666,0.5125,0.9458333333333332,0.17926932277485172,0.5427875057607997
PONE2016_h2_target_Asia,2,Asia,Uncertainty_gated_fusion,0.89296875,0.8924789144985296,0.5049326487606962,0.7291666666666667,0.5208333333333333,0.9375,0.16372184799029757,0.5087592510596621
PONE2016_h2_target_Europe,2,Europe,Balanced_logistic,0.8034199726402189,0.7869736092025974,0.4513972721892684,0.6973324213406292,0.4534883720930232,0.9411764705882352,0.1842761516432651,0.6119615702880244
