dataset,seed,method,policy,test_n,test_positive,threshold,design,selection_note,calibration,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc,brier,log_loss,ece_10,calibration_intercept,calibration_slope,relative_cost_ratio,cost_per_observation,normalized_cost,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,precision_ci_low,precision_ci_high,f2_ci_low,f2_ci_high,mcc_ci_low,mcc_ci_high,triad_score_ci_low,triad_score_ci_high,ap_ci_low,ap_ci_high,auc_ci_low,auc_ci_high,brier_ci_low,brier_ci_high,model_seed,horizon,target_region,source_n,target_n,feature_set
PONE2016_h1_target_Asia,20260731,HistGB,triad,96,48,0.912513662804852,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.7822909731466078,0.625,0.9791666666666666,0.967741935483871,0.759493670886076,0.872093023255814,0.672645739910314,0.6460415830634638,0.7339486965277799,0.8020833333333333,0.020833333333333332,0.3229166666666667,30.0,1.0,47.0,18.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,,,,0.5270833333333333,0.7000000000000001,0.9208333333333333,0.9791666666666666,0.8978557504873295,0.967741935483871,0.5770470464265791,0.7324819652953791,0.5408361522998179,0.6460415830634638,0.6492544937470123,0.7446650713929026,0.9244046057857331,0.9602652299596179,0.9177951388888889,0.9548611111111112,0.08917164205430689,0.1300724001507315,20260731,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,HistGB,cost_1,96,48,0.6967375898246699,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.10416666666666667,0.46875,40.0,5.0,43.0,8.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,1.0,0.13541666666666666,0.13541666666666666,0.7583333333333333,0.89375,0.8375,0.9354166666666667,0.8241187384044527,0.931304347826087,0.7708288636201102,0.8915121592520616,0.5998919669310679,0.8119178979113132,0.7253971399709692,0.8726479140530001,0.9155996804231553,0.979310231619143,0.8977430555555556,0.9758246527777777,0.07404353264610652,0.14247109008953093,20260731,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,HistGB,cost_2,96,48,0.6967375898246699,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.10416666666666667,0.46875,40.0,5.0,43.0,8.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,2.0,0.21875,0.14583333333333334,0.6958333333333333,0.875,0.7999999999999999,0.9375,0.7960106382978723,0.9316666666666666,0.72872164721427,0.8849683544303797,0.5709096214937671,0.8076824205696248,0.7048585943608102,0.8697889185810813,0.9243245257883692,0.9746289372922256,0.9075520833333333,0.9672743055555556,0.08220107954469615,0.14855740436544454,20260731,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,HistGB,cost_5,96,48,0.09839109526294543,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.48653363279984113,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,5.0,0.40625,0.13541666666666666,0.8604166666666666,0.9791666666666666,0.41875,0.6,0.6046188898094449,0.6976890756302521,0.793265574729453,0.9014765197349467,0.32911060294247757,0.5910979286748177,0.49828720013293204,0.6880100047659538,0.9212399481114791,0.9737432138241052,0.886328125,0.9682291666666667,0.0853413679896204,0.13821797262250898,20260731,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,HistGB,cost_10,96,48,0.09839109526294543,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.48653363279984113,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,10.0,0.5625,0.10227272727272728,0.9375,0.9791666666666666,0.3770833333333333,0.5375,0.6013333333333333,0.6792406613594612,0.8439782970906139,0.8996984397535073,0.3830039993160169,0.5758779914196042,0.5138308126048569,0.6716867478617491,0.950665244333251,0.9847565133352986,0.9364583333333333,0.9784722222222222,0.05314735073249881,0.10643293452920961,20260731,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,HistGB,cost_20,96,48,0.09839109526294543,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.48653363279984113,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,20.0,0.875,0.08333333333333333,0.8604166666666666,0.9770833333333333,0.40625,0.6020833333333333,0.6103742203742204,0.7056730769230769,0.8024852988502384,0.896746071821071,0.3804971560736252,0.5975951597278668,0.529638998807557,0.6991565207649589,0.918142301649123,0.979535577411813,0.9040364583333332,0.9741753472222221,0.07219749601575744,0.13609424968190575,20260731,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,KELM_PBMSBAINGO,triad,96,48,0.7266745504920412,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.7822909731466078,0.625,0.9791666666666666,0.967741935483871,0.759493670886076,0.872093023255814,0.672645739910314,0.6460415830634638,0.7339486965277799,0.8020833333333333,0.020833333333333332,0.3229166666666667,30.0,1.0,47.0,18.0,0.9434737229671488,0.935763888888889,0.10985255644928232,0.3637912338341427,0.11634719336019905,-0.09433960659847354,1.6115900557012868,,,,0.5708333333333333,0.6875,0.9583333333333334,1.0,0.9397402597402598,1.0,0.6211616161616161,0.7326872246696035,0.599870617940948,0.7220828561288261,0.6940844322162009,0.7910014018191027,0.9273773820532918,0.9544534658997674,0.9089843750000001,0.9355034722222223,0.1029555921463167,0.12605924308260416,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,KELM_PBMSBAINGO,cost_1,96,48,0.4745840536156561,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.8747519489673756,0.8541666666666666,0.8958333333333334,0.8913043478260869,0.8723404255319149,0.8836206896551724,0.8613445378151261,0.7506518906054691,0.8312585782992649,0.875,0.10416666666666667,0.4791666666666667,41.0,5.0,43.0,7.0,0.9434737229671488,0.935763888888889,0.10985255644928232,0.3637912338341427,0.11634719336019905,-0.09433960659847354,1.6115900557012868,1.0,0.125,0.125,0.8125,0.9125,0.8125,0.89375,0.81325,0.8922553191489361,0.8128399581589958,0.9060479269684291,0.627097353377639,0.7902193630097971,0.7459230263551017,0.8583351351834121,0.912436579714426,0.9526070597332239,0.8917100694444445,0.943923611111111,0.09855460573923389,0.1374201236479099,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,KELM_PBMSBAINGO,cost_2,96,48,0.4745840536156561,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.8747519489673756,0.8541666666666666,0.8958333333333334,0.8913043478260869,0.8723404255319149,0.8836206896551724,0.8613445378151261,0.7506518906054691,0.8312585782992649,0.875,0.10416666666666667,0.4791666666666667,41.0,5.0,43.0,7.0,0.9434737229671488,0.935763888888889,0.10985255644928232,0.3637912338341427,0.11634719336019905,-0.09433960659847354,1.6115900557012868,2.0,0.19791666666666666,0.13194444444444445,0.7770833333333333,0.9520833333333334,0.8395833333333333,0.9729166666666667,0.8380952380952381,0.9705591291439881,0.7948717948717948,0.9418100108476678,0.6671936840905293,0.8585389735095278,0.7736557495642917,0.9027568500521574,0.9190431945517501,0.9744381262378887,0.9047743055555556,0.9717881944444444,0.08551864922860097,0.12946603103703355,20260832,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260731,KELM_PBMSBAINGO,cost_5,96,48,0.17510679828322936,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.5149669622628448,0.9791666666666666,0.2708333333333333,0.573170731707317,0.7230769230769231,0.625,0.8576642335766423,0.3541688016605732,0.45455839106239876,0.625,0.7291666666666666,0.8541666666666666,47.0,35.0,13.0,1.0,0.9434737229671488,0.935763888888889,0.10985255644928232,0.3637912338341427,0.11634719336019905,-0.09433960659847354,1.6115900557012868,5.0,0.4166666666666667,0.1388888888888889,0.9791666666666666,1.0,0.19375,0.42291666666666666,0.5531782301620274,0.6301582069874753,0.8545454545454545,0.8827040228307996,0.32295782551134367,0.4874331309140156,0.39637699582130165,0.5863297492291702,0.8919346119201069,0.9541196722926455,0.8890625,0.9461805555555556,0.09973239497337336,0.14308603870119294,20260832,1,Asia,342,96,V1-V10_financial_only
