cost_ratio_fn_to_fp,dataset,method,mean_normalized_cost,sd_across_repeats,n_repeats
2.0,3year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.11481818181818179,0.036900207917471374,10
2.0,3year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.12999999999999998,0.022496017627596055,10
2.0,3year.arff,EasyEnsemble,0.1598787878787879,0.04285024213103941,10
2.0,3year.arff,BalancedRF,0.2161212121212121,0.0363048908198198,10
2.0,3year.arff,TIS_NGO-KELM,0.21745454545454543,0.03675218899020686,10
2.0,4year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.0931134820562561,0.01568862195070832,10
2.0,4year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.09696087940510834,0.013851263377701109,10
2.0,4year.arff,HistGB,0.09867442612350467,0.025982149535789943,10
2.0,4year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.10274814096346589,0.034112913727888945,10
2.0,4year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.11736178467507277,0.021764785066263354,10
2.0,4year.arff,EasyEnsemble,0.17287423213708375,0.04438696029944329,10
2.0,4year.arff,BalancedRF,0.17824118978338183,0.030927259471691476,10
2.0,4year.arff,TIS_NGO-KELM,0.189815712900097,0.04845454463259274,10
2.0,5year.arff,HistGB,0.07716244725738393,0.010200088014039554,10
2.0,5year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.07790084388185653,0.013291999652159847,10
2.0,5year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.07821729957805906,0.010260513814466502,10
2.0,5year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.07937763713080168,0.011825668716942121,10
2.0,5year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.08428270042194091,0.016986798296462508,10
2.0,5year.arff,EasyEnsemble,0.10421940928270043,0.010017086571347074,10
2.0,5year.arff,BalancedRF,0.11577004219409284,0.007871245219945042,10
2.0,5year.arff,TIS_NGO-KELM,0.1204113924050633,0.00886762871948218,10
5.0,1year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.07607891491985201,0.007143865242718274,10
5.0,1year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.09367036580353472,0.011216774951595565,10
5.0,1year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.09371146732429099,0.011849156492911189,10
5.0,1year.arff,HistGB,0.0951089190300041,0.011590013447730406,10
5.0,1year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.10036991368680637,0.017774579578930857,10
5.0,1year.arff,EasyEnsemble,0.13448417591450879,0.009114287327243674,10
5.0,1year.arff,BalancedRF,0.18014796547472253,0.03361404784111651,10
5.0,1year.arff,TIS_NGO-KELM,0.2226058364159474,0.031069777481949345,10
5.0,2year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.1148924122310306,0.02052343518603983,10
5.0,2year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.13830690826727066,0.021021435031651717,10
5.0,2year.arff,HistGB,0.1441392978482446,0.03905822640548695,10
5.0,2year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.14428086070215174,0.03385249053261685,10
5.0,2year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.14985843714609287,0.03022102248730352,10
5.0,2year.arff,EasyEnsemble,0.20393544733861835,0.049004662735385715,10
5.0,2year.arff,TIS_NGO-KELM,0.23434314835787093,0.049167242648054825,10
5.0,2year.arff,BalancedRF,0.2368629671574179,0.03638265105157559,10
5.0,3year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.13325326928209236,0.015803898708260933,10
5.0,3year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.15049372831598612,0.008612555706295157,10
5.0,3year.arff,HistGB,0.15737923672271154,0.018474178902662636,10
5.0,3year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.16132906325060045,0.021620862925433883,10
5.0,3year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.16837469975980784,0.01590841136749372,10
5.0,3year.arff,EasyEnsemble,0.1986122231118228,0.02486200438197537,10
5.0,3year.arff,BalancedRF,0.2424606351748065,0.025282269759192687,10
5.0,3year.arff,TIS_NGO-KELM,0.2617293835068054,0.022759539992497073,10
5.0,4year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.12619449128724006,0.006702285786966444,10
5.0,4year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.14806070826306916,0.01428808161992186,10
5.0,4year.arff,HistGB,0.15061832490163013,0.0157989854305308,10
5.0,4year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.15314783586284428,0.02137200174022877,10
5.0,4year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.15396290050590222,0.01378089251875003,10
5.0,4year.arff,EasyEnsemble,0.20424395727937045,0.02648239954915474,10
5.0,4year.arff,BalancedRF,0.22105115233277123,0.01518934980106393,10
5.0,4year.arff,TIS_NGO-KELM,0.23709949409780778,0.02647383076735541,10
5.0,5year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.1144812362030905,0.014435953417180602,10
5.0,5year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.1208830022075055,0.02172476554410798,10
5.0,5year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.12830022075055186,0.017640656515109886,10
5.0,5year.arff,HistGB,0.1309492273730684,0.01749023090423387,10
5.0,5year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.13143487858719646,0.022159319185268773,10
5.0,5year.arff,EasyEnsemble,0.16975717439293597,0.012136150721403761,10
5.0,5year.arff,BalancedRF,0.1788962472406181,0.014678095051921693,10
5.0,5year.arff,TIS_NGO-KELM,0.1981456953642384,0.022013945339497017,10
10.0,1year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.1157857646229739,0.014965267196784971,10
10.0,1year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.13502466525722337,0.015486782384997596,10
10.0,1year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.15045806906272022,0.02623714811332944,10
10.0,1year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.152184637068358,0.022832842009493523,10
10.0,1year.arff,HistGB,0.1532417195207893,0.024162607631683704,10
10.0,1year.arff,EasyEnsemble,0.186645525017618,0.014422470648938979,10
10.0,1year.arff,BalancedRF,0.22156448202959828,0.026774682352780785,10
10.0,1year.arff,TIS_NGO-KELM,0.26201550387596895,0.021693779562696035,10
10.0,2year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.1602855759922556,0.014632449752410827,10
10.0,2year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.1928848015488867,0.01870319261521441,10
10.0,2year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.1950871248789932,0.024055830625438868,10
10.0,2year.arff,HistGB,0.19532913843175218,0.02747382696303593,10
10.0,2year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.19755566311713457,0.02075776324936906,10
10.0,2year.arff,EasyEnsemble,0.24607938044530497,0.029756362132091162,10
10.0,2year.arff,BalancedRF,0.27591965150048403,0.029279183739703136,10
10.0,2year.arff,TIS_NGO-KELM,0.29808809293320426,0.03353633185350461,10
10.0,3year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.17983081032947462,0.015861972068128682,10
10.0,3year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.21380231522707033,0.017432629471130417,10
10.0,3year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.21536064113980408,0.019002299570858517,10
10.0,3year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.21827693677649154,0.015572389458456968,10
10.0,3year.arff,HistGB,0.2189893143365984,0.014880124820907035,10
10.0,3year.arff,EasyEnsemble,0.2460373998219056,0.01329335745205257,10
10.0,3year.arff,BalancedRF,0.27471059661620656,0.02004880671479812,10
10.0,3year.arff,TIS_NGO-KELM,0.3159394479073909,0.015549228556186317,10
10.0,4year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.16097392107085162,0.012144186610675102,10
10.0,4year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.19750750057696748,0.015007977365656226,10
10.0,4year.arff,HistGB,0.2124163397184399,0.013136715505733079,10
10.0,4year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.21310870066928228,0.01565091987176222,10
10.0,4year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.21343180244634205,0.01541684689454307,10
10.0,4year.arff,EasyEnsemble,0.24156473574890377,0.014955538672003173,10
10.0,4year.arff,BalancedRF,0.2719824601892453,0.016850171957007342,10
10.0,4year.arff,TIS_NGO-KELM,0.29335333487191323,0.01785762080889117,10
10.0,5year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.15461805555555555,0.030295810443050276,10
10.0,5year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.16104166666666667,0.035332522289589025,10
10.0,5year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.18197916666666664,0.029891354373334955,10
10.0,5year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.18982638888888886,0.03919599104161761,10
10.0,5year.arff,HistGB,0.18996527777777775,0.028503939162048658,10
10.0,5year.arff,EasyEnsemble,0.2416666666666667,0.0253807595651559,10
10.0,5year.arff,BalancedRF,0.2481597222222222,0.03050424019441922,10
10.0,5year.arff,TIS_NGO-KELM,0.2834375,0.04231873069752675,10
20.0,1year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.16875,0.029450367750491195,10
20.0,1year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.18124999999999997,0.0215522441118704,10
20.0,1year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.22615131578947367,0.045949538837217564,10
20.0,1year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.2302357456140351,0.03905722558522631,10
20.0,1year.arff,HistGB,0.23078399122807017,0.042276268432315744,10
20.0,1year.arff,EasyEnsemble,0.2562225877192982,0.032027704505599046,10
20.0,1year.arff,BalancedRF,0.27680921052631574,0.03437659816245054,10
20.0,1year.arff,TIS_NGO-KELM,0.3145833333333333,0.022631766653421665,10
20.0,2year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.220423855963991,0.016305928850118473,10
20.0,2year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.2607464366091523,0.02573079037908025,10
20.0,2year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.26239684921230305,0.028079533408595987,10
20.0,2year.arff,HistGB,0.2631470367591898,0.036562446079356825,10
20.0,2year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.2651912978244561,0.028232019253679668,10
20.0,2year.arff,EasyEnsemble,0.30191297824456115,0.021083584692584867,10
20.0,2year.arff,BalancedRF,0.32766316579144783,0.031671734280071896,10
20.0,2year.arff,TIS_NGO-KELM,0.3825393848462116,0.05007373486545124,10
20.0,3year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.23818121029755934,0.02102524034396654,10
20.0,3year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.274222668004012,0.03384348881337696,10
20.0,3year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.28961885656970915,0.03622056339092018,10
20.0,3year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.2931126713473754,0.03833279528730563,10
20.0,3year.arff,HistGB,0.2961718488799733,0.03286309223831944,10
20.0,3year.arff,EasyEnsemble,0.30544968238047476,0.03542245818462475,10
20.0,3year.arff,BalancedRF,0.31511200267469075,0.03205321028355883,10
20.0,3year.arff,TIS_NGO-KELM,0.38385155466399196,0.03241173908927285,10
20.0,4year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.20304266530681625,0.025967576434246454,10
20.0,4year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.2501784803671596,0.028452543429229416,10
20.0,4year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.2856365799762026,0.0300409538853578,10
20.0,4year.arff,EasyEnsemble,0.2867074621791603,0.033829368243162884,10
20.0,4year.arff,HistGB,0.2871664116947136,0.026505845508314946,10
20.0,4year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.29250382457929625,0.01998640891691491,10
20.0,4year.arff,BalancedRF,0.3335883052864185,0.04098067488191957,10
20.0,4year.arff,TIS_NGO-KELM,0.3613972463029067,0.046341338981197064,10
20.0,5year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.19885644768856447,0.05017543840402641,10
20.0,5year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.20530413625304136,0.05292811907813557,10
20.0,5year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.24114355231143553,0.044869453663883306,10
20.0,5year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.25418491484184913,0.0586725196128949,10
20.0,5year.arff,HistGB,0.2550121654501216,0.04142917995825803,10
20.0,5year.arff,EasyEnsemble,0.32092457420924575,0.041614454729811845,10
20.0,5year.arff,BalancedRF,0.3245012165450122,0.04879854401481109,10
20.0,5year.arff,TIS_NGO-KELM,0.37744525547445257,0.06537667066638322,10
50.0,1year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.24294175715695956,0.0506140585693493,10
50.0,1year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.2460019743336624,0.0374979687124491,10
50.0,1year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.33218163869693984,0.07372077896238781,10
50.0,1year.arff,HistGB,0.3394044093451794,0.06807150903835693,10
50.0,1year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.33956893715037845,0.062032168387704,10
50.0,1year.arff,EasyEnsemble,0.3536854228364593,0.05850443883454854,10
50.0,1year.arff,BalancedRF,0.35419545903257654,0.06152503043507174,10
50.0,1year.arff,TIS_NGO-KELM,0.388219809147746,0.0438028103801768,10
50.0,2year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.30388490819525305,0.030881291070086893,10
50.0,2year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.3484437975817286,0.051249116036889884,10
50.0,2year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.3558105687416032,0.053805886794645666,10
50.0,2year.arff,HistGB,0.35726600985221674,0.07191573157185058,10
50.0,2year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.3655396327810121,0.04992707978821272,10
50.0,2year.arff,EasyEnsemble,0.3793999104343932,0.052846997046219396,10
50.0,2year.arff,BalancedRF,0.39947380206000893,0.051456841230828304,10
50.0,2year.arff,TIS_NGO-KELM,0.49974249888042993,0.1013493158186986,10
50.0,3year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.31341370072713354,0.03156684145728662,10
50.0,3year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.35011481056257177,0.05676133846880253,10
50.0,3year.arff,BalancedRF,0.3672024492920015,0.05786442369836193,10
50.0,3year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.381601607347876,0.07006248449626848,10
50.0,3year.arff,EasyEnsemble,0.382051282051282,0.07295117412902123,10
