method,mean_fnr,sd_fnr,mean_fpr,sd_fpr
PBMSBAINGO-HGBKELM(Triad-mode),0.36379982661328625,0.08591784837178705,0.05029202410866493,0.0294276927066783
PBMSBAINGO-HGBKELM(Sensitivity-mode),0.3959167012990281,0.1036575819687946,0.07390708898749818,0.037877738043972396
PBMSBAINGO-HGBKELM(F2-mode),0.4716569142914734,0.10793228523516445,0.05149882837532413,0.04546002425155698
EasyEnsemble,0.47962754318060613,0.10776423760499897,0.10481200933063668,0.06746453327091476
BalancedRF,0.4844349879029569,0.1006972863842682,0.13959359980354122,0.06548071476679083
HistGB,0.4862881936601234,0.10475130561173994,0.04665740486155906,0.04408109047458198
PBMSBAINGO-HGBKELM(MCC-guarded),0.4937023142696607,0.09727294396119764,0.04094710390118439,0.028960371775262846
TIS_NGO-KELM,0.5819726496589014,0.13936441461314605,0.13827301058479682,0.0736328384870704
