dataset,seed,method,optimizer,evals,val_loss,val_triad,val_ap,C,gamma,cost_pos,blend_alpha,selected_feature_count,selected_features,model_seed,horizon,target_region,gate_selected,gate_utility_simple,gate_utility_fused,gate_difference,gate_standard_error,gate_required_margin
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.21124263934116444,0.8021505904755111,0.8382301768156332,3.4056508898641096,0.001328642706746845,21.601235258765232,-1.0,6.0,"[3, 4, 5, 6, 8, 9]",20260828,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,1.0,,"[3, 4, 5, 6, 8, 9]",20260727,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,KELM_risk_feature,PBMSBAINGO,81,0.19756261579187168,0.8220941129229759,0.8687187572382506,11.01796481532436,0.002990125551245919,2.059685709348877,-1.0,10.0,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]",20260938,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.20598277852302604,0.8021505904755111,0.8914889859021979,0.3240815548027035,0.261602075579493,0.37533545386630773,0.2,4.0,"[1, 5, 10, 11]",20261034,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,1,Asia,KELM_risk_feature,0.54443971361459,0.5404336172077868,-0.004006096406803161,0.05920520158733211,0.05920520158733211
PONE2016_h1_target_Asia,20260727,Full_random_search,Random,81,0.20806465509303326,0.8021505904755111,0.86511951071966,1333.641717048994,0.12733333868235883,0.716552935332647,0.05,5.0,"[5, 6, 8, 10, 11]",20261128,1,Asia,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.13641038158870628,0.8746437993905218,0.9461090803864933,4.801085416692544,0.011388915194004163,5.343888887097874,-1.0,5.0,"[3, 5, 6, 9, 10]",20260828,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.1,,"[3, 5, 6, 9, 10]",20260727,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_risk_feature,PBMSBAINGO,81,0.10892136779811896,0.8995465268881894,0.9465583509877626,1.2774324455633974,0.33005797670723064,7.883822337601266,-1.0,4.0,"[2, 6, 9, 11]",20260938,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.13255875746624182,0.8765931394021036,0.9708795135077057,2147.2903672651446,1.1070813204217806,1.2650182864623616,0.7,5.0,"[1, 3, 4, 5, 11]",20261034,1,Europe,,,,,,
