dataset,seed,method,cost_ratio,normalized_cost
1year.arff,3,Balanced_forest_reference,20,0.2669956140350877
1year.arff,3,Balanced_forest_reference,50,0.357683448502797
1year.arff,3,EasyEnsemble_reference,1,0.07254623044096728
1year.arff,3,EasyEnsemble_reference,2,0.08812785388127854
1year.arff,3,EasyEnsemble_reference,5,0.12864775996711877
1year.arff,3,EasyEnsemble_reference,10,0.18076109936575052
1year.arff,3,EasyEnsemble_reference,20,0.25027412280701755
1year.arff,3,EasyEnsemble_reference,50,0.3476472523856532
1year.arff,4,Balanced_logistic,1,0.17117117117117117
1year.arff,4,Balanced_logistic,2,0.17899543378995433
1year.arff,4,Balanced_logistic,5,0.19934237566789972
1year.arff,4,Balanced_logistic,10,0.2255109231853418
1year.arff,4,Balanced_logistic,20,0.2604166666666667
1year.arff,4,Balanced_logistic,50,0.30931227377426784
1year.arff,4,Random_forest,1,0.10431484115694642
1year.arff,4,Random_forest,2,0.1141552511415525
1year.arff,4,Random_forest,5,0.13974517057131114
1year.arff,4,Random_forest,10,0.1726568005637773
1year.arff,4,Random_forest,20,0.21655701754385964
1year.arff,4,Random_forest,50,0.2780519907864429
1year.arff,4,Extra_trees,1,0.16548127074442864
1year.arff,4,Extra_trees,2,0.17488584474885846
1year.arff,4,Extra_trees,5,0.19934237566789972
1year.arff,4,Extra_trees,10,0.23079633544749825
1year.arff,4,Extra_trees,20,0.2727521929824561
1year.arff,4,Extra_trees,50,0.33152352747614344
1year.arff,4,HistGB_fair,1,0.01896633475580844
1year.arff,4,HistGB_fair,2,0.031050228310502283
1year.arff,4,HistGB_fair,5,0.06247431154952733
1year.arff,4,HistGB_fair,10,0.10288935870331219
1year.arff,4,HistGB_fair,20,0.15679824561403508
1year.arff,4,HistGB_fair,50,0.23231326094109905
1year.arff,4,Balanced_forest_reference,1,0.14983404457088667
1year.arff,4,Balanced_forest_reference,2,0.15799086757990868
1year.arff,4,Balanced_forest_reference,5,0.1792026304973284
1year.arff,4,Balanced_forest_reference,10,0.20648343904157856
1year.arff,4,Balanced_forest_reference,20,0.24287280701754385
1year.arff,4,Balanced_forest_reference,50,0.29384666008555443
1year.arff,4,EasyEnsemble_reference,1,0.0559506875296349
1year.arff,4,EasyEnsemble_reference,2,0.07123287671232877
1year.arff,4,EasyEnsemble_reference,5,0.11097410604192355
1year.arff,4,EasyEnsemble_reference,10,0.16208597603946442
1year.arff,4,EasyEnsemble_reference,20,0.23026315789473684
1year.arff,4,EasyEnsemble_reference,50,0.32576505429417574
1year.arff,5,Balanced_logistic,1,0.16880037932669512
1year.arff,5,Balanced_logistic,2,0.17945205479452056
1year.arff,5,Balanced_logistic,5,0.20715166461159062
1year.arff,5,Balanced_logistic,10,0.2427766032417195
1year.arff,5,Balanced_logistic,20,0.2902960526315789
1year.arff,5,Balanced_logistic,50,0.3568608094768016
1year.arff,5,Random_forest,1,0.049786628733997154
1year.arff,5,Random_forest,2,0.06666666666666667
1year.arff,5,Random_forest,5,0.11056309083436087
1year.arff,5,Random_forest,10,0.16701902748414377
1year.arff,5,Random_forest,20,0.24232456140350878
1year.arff,5,Random_forest,50,0.34781178019085224
1year.arff,5,Extra_trees,1,0.12849691797060217
1year.arff,5,Extra_trees,2,0.14474885844748858
1year.arff,5,Extra_trees,5,0.18701191944101933
1year.arff,5,Extra_trees,10,0.24136715997181113
1year.arff,5,Extra_trees,20,0.3138706140350877
1year.arff,5,Extra_trees,50,0.4154327081276736
1year.arff,5,HistGB_fair,1,0.021811284969179705
1year.arff,5,HistGB_fair,2,0.03287671232876712
1year.arff,5,HistGB_fair,5,0.06165228113440197
1year.arff,5,HistGB_fair,10,0.09866102889358704
1year.arff,5,HistGB_fair,20,0.14802631578947367
1year.arff,5,HistGB_fair,50,0.21717670286278382
1year.arff,5,Balanced_forest_reference,1,0.0858226647700332
1year.arff,5,Balanced_forest_reference,2,0.1
1year.arff,5,Balanced_forest_reference,5,0.13686806411837238
1year.arff,5,Balanced_forest_reference,10,0.18428470754052148
1year.arff,5,Balanced_forest_reference,20,0.24753289473684212
1year.arff,5,Balanced_forest_reference,50,0.3361303060217177
1year.arff,5,EasyEnsemble_reference,1,0.0953058321479374
1year.arff,5,EasyEnsemble_reference,2,0.10593607305936073
1year.arff,5,EasyEnsemble_reference,5,0.13357994245787094
1year.arff,5,EasyEnsemble_reference,10,0.16913319238900634
1year.arff,5,EasyEnsemble_reference,20,0.21655701754385964
1year.arff,5,EasyEnsemble_reference,50,0.28298782494241526
1year.arff,6,Balanced_logistic,1,0.18397344713134187
1year.arff,6,Balanced_logistic,2,0.19360730593607306
1year.arff,6,Balanced_logistic,5,0.21866009042334567
1year.arff,6,Balanced_logistic,10,0.25088090204369273
1year.arff,6,Balanced_logistic,20,0.29385964912280704
1year.arff,6,Balanced_logistic,50,0.35406383678841724
1year.arff,6,Random_forest,1,0.06922712185870081
1year.arff,6,Random_forest,2,0.08127853881278539
1year.arff,6,Random_forest,5,0.11261816687217427
1year.arff,6,Random_forest,10,0.1529245947850599
1year.arff,6,Random_forest,20,0.20668859649122806
1year.arff,6,Random_forest,50,0.28200065811122077
1year.arff,6,Extra_trees,1,0.13466097676623992
1year.arff,6,Extra_trees,2,0.14977168949771688
1year.arff,6,Extra_trees,5,0.1890669954788327
1year.arff,6,Extra_trees,10,0.23960535588442566
1year.arff,6,Extra_trees,20,0.30701754385964913
1year.arff,6,Extra_trees,50,0.4014478446857519
1year.arff,6,HistGB_fair,1,0.044096728307254626
1year.arff,6,HistGB_fair,2,0.0502283105022831
1year.arff,6,HistGB_fair,5,0.06617344841759146
1year.arff,6,HistGB_fair,10,0.08668076109936575
1year.arff,6,HistGB_fair,20,0.11403508771929824
1year.arff,6,HistGB_fair,50,0.15235274761434683
1year.arff,6,Balanced_forest_reference,1,0.11000474158368895
1year.arff,6,Balanced_forest_reference,2,0.12100456621004566
1year.arff,6,Balanced_forest_reference,5,0.14960953555281545
1year.arff,6,Balanced_forest_reference,10,0.18639887244538408
1year.arff,6,Balanced_forest_reference,20,0.23547149122807018
1year.arff,6,Balanced_forest_reference,50,0.3042119118130964
1year.arff,6,EasyEnsemble_reference,1,0.09009009009009009
1year.arff,6,EasyEnsemble_reference,2,0.10136986301369863
1year.arff,6,EasyEnsemble_reference,5,0.13070283600493218
1year.arff,6,EasyEnsemble_reference,10,0.16842847075405215
1year.arff,6,EasyEnsemble_reference,20,0.21875
1year.arff,6,EasyEnsemble_reference,50,0.28923988153998026
1year.arff,7,Balanced_logistic,1,0.1327643432906591
1year.arff,7,Balanced_logistic,2,0.14931506849315068
1year.arff,7,Balanced_logistic,5,0.19235511713933415
