dataset,method,mcc,sensitivity,specificity,precision,f2,ap
1year.arff,Balanced_forest_reference,0.2619953781038785,0.5444444444444444,0.8957100591715978,0.17684622784471488,0.3812973736702829,0.2797675328403827
1year.arff,Balanced_logistic,0.20526984383305105,0.5296296296296296,0.8568047337278107,0.13162214265879532,0.3252132635134548,0.166069203556579
1year.arff,EasyEnsemble_reference,0.31350219656028677,0.5641975308641975,0.9181952662721893,0.22465241192937752,0.4279891850966539,0.28261428933087923
1year.arff,Extra_trees,0.1862132184095081,0.465432098765432,0.8708579881656805,0.12787972111204887,0.3008815466448945,0.15801020668672544
1year.arff,HistGB_fair,0.6428066902831565,0.6320987654320988,0.98698224852071,0.6929243359239939,0.6359022666145931,0.6977131016691611
1year.arff,Random_forest,0.3576873367517901,0.6271604938271607,0.9215483234714006,0.252514877222734,0.476268107111513,0.3921204725886299
1year.arff,Triad_risk_fusion,0.6023983652107477,0.6456790123456791,0.9794871794871796,0.6120444589934282,0.624447307092214,0.6862749707318777
2year.arff,Balanced_forest_reference,0.193755257991927,0.4875,0.8644952251023194,0.1309109394221129,0.31279792661631184,0.19010739336169558
2year.arff,Balanced_logistic,0.1598130450732131,0.4541666666666666,0.8485334242837654,0.1105011871500073,0.27725666097540175,0.132338093723391
2year.arff,EasyEnsemble_reference,0.22221613772452012,0.5408333333333333,0.8655866302864939,0.14324842726179604,0.3456198563849523,0.1640698072499641
2year.arff,Extra_trees,0.13875430436043631,0.4425,0.8303547066848568,0.09756790872536839,0.2574528277965777,0.10830329501681465
2year.arff,HistGB_fair,0.43409385418624036,0.5416666666666665,0.957673942701228,0.421595219221091,0.48559595120188775,0.5157028701621218
2year.arff,Random_forest,0.24457564836389872,0.48583333333333334,0.9036493860845839,0.18080957483310972,0.35266498645088695,0.26278228650223534
2year.arff,Triad_risk_fusion,0.4182886812095809,0.5725,0.9490791268758528,0.36552333438243056,0.49604892427599323,0.5016980013045886
3year.arff,Balanced_forest_reference,0.21199213331566344,0.5020134228187919,0.8593271152564956,0.15320125451278271,0.3410951889654859,0.21052349561060488
3year.arff,Balanced_logistic,0.16247991559763275,0.461744966442953,0.8317121918720852,0.12130197119432748,0.2946235612128135,0.13247784916007102
3year.arff,EasyEnsemble_reference,0.23998998899921214,0.5107382550335571,0.8794470353097934,0.1750697998846217,0.36688185719232724,0.1805124115352909
3year.arff,Extra_trees,0.16992271137688497,0.47852348993288596,0.8307794803464358,0.12376425136303708,0.30278710540634646,0.12750911492115488
3year.arff,HistGB_fair,0.40368349108808604,0.5838926174496645,0.9385076615589607,0.33984987616787243,0.5002699454913672,0.5094918454996222
3year.arff,Random_forest,0.25940815461138744,0.5120805369127517,0.8924050632911392,0.19354202205051388,0.3828343519601568,0.2742816512073033
3year.arff,Triad_risk_fusion,0.3984446195477916,0.5859060402684564,0.9364423717521653,0.32889554997847215,0.5006027965413793,0.4988709781343269
4year.arff,Balanced_forest_reference,0.24429815978744532,0.4935483870967742,0.8819259791591808,0.19124411977780878,0.37029586869922776,0.20853569467116237
4year.arff,Balanced_logistic,0.1987125570689555,0.4451612903225806,0.8687387711103127,0.16063933370767972,0.32668869799890415,0.18204707685711724
4year.arff,EasyEnsemble_reference,0.26656694243950174,0.5070967741935484,0.8912324829320877,0.209824619767555,0.3904377776362681,0.20981643052506352
4year.arff,Extra_trees,0.20657623714869383,0.47354838709677427,0.8615522817103844,0.16047210576266915,0.33968140706605343,0.15614003736704776
4year.arff,HistGB_fair,0.47662729699356027,0.6283870967741935,0.9471433704635286,0.42358401717044647,0.5624288550175705,0.5819125509964482
4year.arff,Random_forest,0.28844404602825957,0.5161290322580646,0.9009342436219907,0.23065476628955764,0.4079311514295319,0.26313679275086976
4year.arff,Triad_risk_fusion,0.4508879803106895,0.6793548387096775,0.9279554437657204,0.35824930381200865,0.5680399156804333,0.5721404189062291
5year.arff,Balanced_forest_reference,0.41159009251893836,0.5861788617886178,0.9219999999999999,0.3703603161164647,0.5181277121541235,0.4094557298410595
5year.arff,Balanced_logistic,0.3845588161102792,0.5626016260162602,0.9184242424242424,0.34257356434055625,0.4971152100423771,0.3881434832899348
5year.arff,EasyEnsemble_reference,0.43965250503377196,0.6292682926829268,0.9217575757575757,0.3824557556684305,0.5528797126970751,0.4526325754789566
5year.arff,Extra_trees,0.3800492783794308,0.5186991869918699,0.9301212121212122,0.3613954909098105,0.47360682868050114,0.37646668175634745
5year.arff,HistGB_fair,0.6120510568470017,0.6796747967479675,0.9639393939393939,0.616802937071413,0.6566874143789828,0.7155975030457178
5year.arff,Random_forest,0.435077888458027,0.6089430894308943,0.9256969696969698,0.3883573257389419,0.5409966418920445,0.4405811968204595
5year.arff,Triad_risk_fusion,0.5966909577213327,0.697560975609756,0.9555757575757575,0.583385524812361,0.6564636349590235,0.7119214815252664
