horizon,target_region,method,auc,ap,mcc,balanced_accuracy,brier,log_loss,ece_10,calibration_intercept,calibration_slope,absolute_intercept,absolute_slope_error
1,Asia,Balanced_logistic,0.9440104166666666,0.9543744904577072,0.6798834181250946,0.8229166666666666,0.10232066833679218,0.3235760106814021,0.0858643808341293,-0.6868715380360546,1.263824887137421,0.6868715380360546,0.2638248871374209
1,Asia,Full_PBMSBAINGO,0.9421875,0.9498552395793742,0.6336803136008238,0.7895833333333334,0.10072957629778063,0.3327558695224062,0.09771927305752044,0.007439076056843079,1.044005603642717,0.007439076056843079,0.044005603642716995
1,Asia,Full_random_search,0.9394097222222223,0.9460494160257525,0.6603209328969345,0.8104166666666666,0.0997280826256991,0.3303192611071669,0.09008998138996807,-0.02464966218622388,1.0435504978211498,0.02464966218622388,0.043550497821149836
1,Asia,HistGB,0.939670138888889,0.9494823313405835,0.6460415830634638,0.8020833333333333,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,0.0118002001395812,0.03450292330592597
1,Asia,KELM_PBMSBAINGO,0.9276041666666668,0.9383165779862528,0.6337717474472593,0.7958333333333334,0.1176247339229927,0.37962884878732905,0.1085748517075444,-0.5239904631751295,1.334444618151802,0.5239904631751295,0.33444461815180193
1,Asia,KELM_risk_feature,0.9383680555555557,0.9461241697927434,0.606191593852985,0.775,0.09737198991871761,0.3272731910485198,0.08444188335001286,-0.14247549587916958,1.42621338323435,0.14247549587916958,0.42621338323435
1,Asia,KELM_score_fusion,0.9322048611111111,0.9412019052925444,0.6294057834581823,0.7895833333333332,0.11018593938943388,0.35483105016670236,0.09990555584684464,-0.19396899223145664,1.2039943517684222,0.19396899223145664,0.20399435176842218
1,Asia,Uncertainty_gated_fusion,0.9383680555555557,0.9461241697927434,0.606191593852985,0.775,0.09737198991871761,0.3272731910485198,0.08444188335001286,-0.14247549587916958,1.42621338323435,0.14247549587916958,0.42621338323435
1,Europe,Balanced_logistic,0.8859097127222985,0.8789238152502963,0.5035262172575005,0.7149794801641587,0.1335267507778348,0.4849476302041785,0.0689753452453872,0.1763850505203446,0.708503481494626,0.1763850505203446,0.29149651850537395
1,Europe,Full_PBMSBAINGO,0.8718194254445963,0.8380363648519247,0.5831929289220041,0.7876060191518468,0.1434730259139782,0.46985235318760754,0.09021490135443036,-0.20760078095652887,0.7661658967057804,0.20760078095652887,0.2338341032942196
1,Europe,Full_random_search,0.8717920656634748,0.8355263047731046,0.5576456903009721,0.7702872777017784,0.14305620242454387,0.4648025682108832,0.08912280538228583,-0.15830304765389747,0.7642415344415138,0.15830304765389747,0.23575846555848623
1,Europe,HistGB,0.8808481532147743,0.8607584204467822,0.5493412588939887,0.7611491108071136,0.1498404627628348,0.4779763713993825,0.0935486824258398,-0.1250236937510642,0.7323014741694593,0.1250236937510642,0.26769852583054066
1,Europe,KELM_PBMSBAINGO,0.8750478796169631,0.86676721125549,0.5692768334510204,0.7659507523939808,0.1402760474770266,0.46878086485200365,0.07321560437483408,-0.06497790526894072,0.7620050014659963,0.06497790526894072,0.23799499853400374
1,Europe,KELM_risk_feature,0.8493844049247606,0.836871383787414,0.4853417695199087,0.728467852257182,0.16150544402442918,0.49982969551312123,0.10151114983025829,-0.018524269239661887,1.1971858317096224,0.018524269239661887,0.19718583170962245
1,Europe,KELM_score_fusion,0.8821340629274965,0.8608563308425747,0.5551942903270475,0.7635020519835841,0.14966382953661617,0.4773208022739472,0.09167349024175006,-0.12637231728780077,0.7325093543390707,0.12637231728780077,0.2674906456609293
1,Europe,Uncertainty_gated_fusion,0.8493844049247606,0.836871383787414,0.4853417695199087,0.728467852257182,0.16150544402442918,0.49982969551312123,0.10151114983025829,-0.018524269239661887,1.1971858317096224,0.018524269239661887,0.19718583170962245
